route_id,stop_id,arrival_time,delay,timestamp
25B,1001,1704089065,-65,1704089065
25B,1001,1704089407,78,1704089407
25B,1001,1704089749,79,1704089749
25B,1001,1704090041,123,1704090041
25B,1001,1704090378,290,1704090378
25B,1001,1704090693,10,1704090693
25B,1001,1704091035,58,1704091035
25B,1001,1704091313,213,1704091313
25B,1001,1704091652,204,1704091652
25B,1001,1704091964,-104,1704091964
25B,1001,1704092248,13,1704092248
25B,1001,1704092582,-2,1704092582
25B,1001,1704092859,251,1704092859
25B,1001,1704093178,140,1704093178
25B,1001,1704093482,294,1704093482
25B,1001,1704093789,176,1704093789
25B,1001,1704094067,81,1704094067
25B,1001,1704094361,81,1704094361
25B,1001,1704094708,-83,1704094708
25B,1001,1704094963,286,1704094963
25B,1001,1704095302,-15,1704095302
25B,1001,1704095656,98,1704095656
25B,1001,1704095953,275,1704095953
25B,1001,1704096281,-76,1704096281
25B,1001,1704096541,8,1704096541
25B,1001,1704096876,252,1704096876
25B,1001,1704097229,279,1704097229
25B,1001,1704097476,147,1704097476
25B,1001,1704097830,-77,1704097830
25B,1001,1704098096,129,1704098096
25B,1001,1704098433,-3,1704098433
25B,1001,1704098675,164,1704098675
25B,1001,1704099017,-114,1704099017
25B,1001,1704099360,94,1704099360
25B,1001,1704099679,283,1704099679
25B,1001,1704099940,-90,1704099940
25B,1001,1704100264,42,1704100264
25B,1001,1704100592,8,1704100592
25B,1001,1704100859,-5,1704100859
25B,1001,1704101156,21,1704101156
25B,1001,1704101479,144,1704101479
25B,1001,1704101756,58,1704101756
25B,1001,1704102069,-9,1704102069
25B,1001,1704102416,84,1704102416
25B,1001,1704102661,234,1704102661
25B,1001,1704102969,220,1704102969
25B,1001,1704103264,199,1704103264
25B,1001,1704103602,288,1704103602
25B,1001,1704103938,-22,1704103938
25B,1001,1704104292,-76,1704104292
25B,1001,1704104553,5,1704104553
25B,1001,1704104833,-68,1704104833
25B,1001,1704105158,29,1704105158
25B,1001,1704105503,172,1704105503
25B,1001,1704105851,134,1704105851
25B,1001,1704106163,285,1704106163
25B,1001,1704106428,286,1704106428
25B,1001,1704106758,140,1704106758
25B,1001,1704107111,92,1704107111
25B,1001,1704107383,155,1704107383
25B,1001,1704107730,37,1704107730
25B,1001,1704108065,111,1704108065
25B,1001,1704108330,221,1704108330
25B,1001,1704108668,299,1704108668
25B,1001,1704108940,-70,1704108940
25B,1001,1704109283,178,1704109283
25B,1001,1704109553,59,1704109553
25B,1001,1704109830,130,1704109830
25B,1001,1704110141,171,1704110141
25B,1001,1704110398,156,1704110398
